일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
11,1987-01-21,수-새벽,약 1:2-4,,인내의 온전을 이루라,"목적 
수고
온전한 사랑
수고
여러가지 현실
준비의 세상
누리는 하늘나라
인내 온전",온전한 사람됨에는 여러가지 어려움이 오나 온전한 인내를 이루어야 온전한 사람 성공함을 교훈 하심,148호 561쪽,1987012130
12,1987-01-21,수요일저녁,마 5:29-30,,"심신구원과 회개, 거짓말 하지 말자.","실족
영구원
심신구원
미래적 심신 죄의 미리 담당적
회개의 기회
에서
거짓말",우리의 심심구원과 회개에 대한 관계 설명 후 거짓말 하지 않도록 회개케 하심,148호 576쪽,1987012133
13,1987-01-22,목-새벽,마 5:27-30,,거짓말 말자,"유유상종
사람됨
결혼관
거짓말
복술
이성죄",친구를 보아 사람을 앎을 교훈 후 거짓말 말라는 교훈으로 구원을 이루게 하심,148호 588쪽,1987012240
14,1987-02-19,목-새벽,막 10:46-52,,바디매오의 믿음을 본 받아라,"인간중에 제일 불쌍한 인간
우리 할 일
박해에 굴하지 아니한 믿음
바디매오의 믿음요약
다섯가지로 자신을 만들어라
2.
ㄱ. 불행의 원인인 죄를 찾아 회개하라
ㄴ. 구비한 신앙을 갖춰라
 가. 초절하지 말고
 나. 하나도 빠지지 말고
4. 
ㄱ. 불행의 원인 인정
ㄴ. 해결사 예수님께 죽자 살자 매 달릴 것
ㄷ. 박해와 방해에 굴하지 아니한 것
ㅁ. 자기 재산 전부를 버리고 달라 붙은 것
ㅂ. 보기를 원하나이다.
---------------------------------------------2
제목; 주님이 칭찬한 바디매오의 5가지 신앙
의견; 초두에 초절주의 신앙,주문 신앙에  대한 경고를 하시고 위 제목에 대해 교훈하심
불행은 죄값
행복은 의 값
초절
초월
주문신앙에 대한 경고
바디매오의 5가지 신앙 - 1.불행의 원인이 보지 못함
                                  2.주님만이 고칠 수 있다
                                  3.역경속에 더 부르짖는 신앙
                                  4.오라 할 때 겉옷을 버리고 나가는 신앙
                                  5.보기를 원하나이다 하는 신앙",,150호 7쪽,1987021940
15,1987-02-20,금-새벽,막 10:46-52,,바디매오의 신앙(믿음)을 가져라,"본문을 기록해 준 목적
ㄱ. 각종 불행의 원인은 보지 못함으로 인함인줄 알도록
ㄴ. 생명보다 주님 만나기를 더 강하게 여기는 자 되도록
ㄷ. 네 믿음이 너를 구원 하였느니라 하는 믿음을 갖추도록
ㄴ.
 가. 즉시 따르지 못하는 원인
 나. 사생결단하고 계속 따르지 못하는 원인
 다. 예수님 만이 해결 할수 있다는 믿음",연속 설교로 보지 못함으로 인한 다양한 현상 제시,150호 24쪽,1987022050
16,1987-02-20,지권찰회,마 7:7-8,약1:15,세 가지를 위해 기도하라,"하나님은 기도하는 것을 기뻐하신다
기도할 세 가지
올 바른 성경에 대해
찬송가에 대해
총공회에 대해
성경 찬송가에 대해서
---------------------------2
제목 ;구하는 자 되자
요지;구하는 것을 기뻐하심을 말씀 후 성경,찬송,총공회,지하철에 대해 기도한 것을 말씀하심
주께 구하는 사람
성경에 대해 기도
찬송에 대해 기도
지하철에 대해
총공회에 대해 기도",,150호 36쪽,1987022081
17,1987-02-21,토-새벽,마 9:1-8,요1:1,결과 있는 믿음을 가져라,"성경은 구원 도리이다
중풍병자를 낫게 한 믿음
결과 있는 믿음을 가져라
2.
ㄱ. 인도자의 믿음 - 결과 있는 믿음
ㄴ. 중풍병자의 믿음 - 결과 있는 믿음
 가. 소망과 확신
 나. 두려워 떰 - 잘 못을 생각함으로, 주님의 위로의 열매가 옴, 죄사함의 결과
 다. 시련에 흔들리지 아니한 믿음
   ------------------2
중풍병자메고 온 사람의 비유에서 메고 온 사람의 결과있는 믿음과 중풍병자의 결과 있는 믿음을 논리적으로 증거하심
메고 온 자의 믿음; 예수님 앞에 인도하면 낫겠다 하는 믿음
중풍병자의 믿음; 병 고침의 소망 믿음 -죄에 대한 두려움의 믿음- 주님의 위로의 안심 - 죄사함 - 시련 - 병고침 -
하나님께 영광 돌림",,150호 41쪽,1987022160
18,1987-02-22,주일-새벽,막 10:46-52,,모든 불행의 원인은 보지 못함으로 인한 것,"모든 불행의 원인은 보지 못함으로 인한 것
원인 해결해 줄이는 예수님 뿐
방해해도 예수님을 더 찾은 원동력
오라 명령에 다 집어 던지고 예수님을 따름
보기를 원하나이다 소원뿐
보지 못하면 죽는 다는 것을 느끼고 가르쳐라
1.
ㄱ. 세상 지식
ㄴ. 보지 못하는 것 두 가지","목회자, 반사, 권찰에게 필히 권할 설교",150호 56쪽,1987022200
19,1987-02-22,주일오전,막 10:46-52,,바디매오가 되자,"형식계시로 주신 말씀
자신이 소경 바디매오라는 것을  깨달 을 것
비참과 가련에서 구출해 주실 예수님을 기다리는 자가 되라
보는 자 되는 것을 소원하라
성찬 참석에 가책이 없도록 준비하라
바로 보도록 힘쓸 것
목사님의 각오와 기도
-을 알고 예수님으로만 소경됨을 치료받을 수 있다는 것을 알고 믿음으로 치료받는 길
==============================
6. 하나님, 자기, 천국, 세상, 사람, 일, 물질
8. 방해보다 원한이 더 큰 믿음을 가져라
9. 꼭 바디매오가 되자
-----------------------------2
계시 -문서계시, 자연계시
보지 못함의 불행 요소 - 하나님을 못 봄
                                 자신을 못 봄
                                 천국을 못 봄
                                 사람을 못 봄
                                 일을 못 봄
                                 물질을 못 봄",목사님 개인에 대한 것,150호 69쪽,1987022201
20,1987-02-22,주일오후,막 10:50-52,마13:44,보배인 믿음,"눈 뜬 사람의 변화와 그 예증
보배인 믿음
1.
ㄱ. 예증, ㄴ. 평가관과 행동이 달라진다. ㄷ. 예수 따르는 사람
2.
ㄱ. 시발은 성경지식으로 자신의 가련, 비참을 아는 것
ㄴ. 비참하게 된 원인은 믿음의 눈(영감의 눈)이 어두워서
ㄷ. 예수님 한 분만이 모든 시관을 바로해 주실이로 믿은 것
ㄹ. 방해 할수록 주님을 더 찾은 것
ㅁ. 주님 명령에 즉시 복종한 믿음
ㅂ. 보기를 원하나이다.
ㅅ. 네 믿음이 너를 구원하였다.

----------------------------------2
본문에 기록된 소경거지 바디매오의 눈 뜬 사건으로 그의 7가지 단계의 믿음으로 우리의 소경됨과 이 영감의 눈이 
띄어야 할 것을 강하게 증거하심
1.소경되었을 때와 눈 뜬 후의 차이,변화
  1)변화의 실 예증 -강석자씨의 남동생,김익두,김의근씨
  2)변화됨의 성경상 인용-마13:44--천국 발견한 증거
2.이 계시를주신 목적
3.소경거지 바디매오가 가진 믿음7가지와 그 가치
  1)1호 믿음-자기의 소경됨과 비참을 아는 믿음(이것을 아는 것은 성경을 믿음으로 됨
                                                                 자기 비참을 안 선다싱
                                                                 성경에 기이한 지식의 성패관
                                                                 주기철 목사님의 장남의 생애)
  2)2호 믿음- 비참의 원인은 소경이기 때문임을  믿음-목사님의 느낌과 각오
  3)3호 믿음- 눈 띄워 주실 분은 예수님 뿐임을 믿믐 믿음
  4)4호 믿음-방해에 방해 받지 않고 주님 부르짖는 믿음--목사님의 경험
  5)5호 믿음-겉옷을 버린 믿음
     6호 믿음-주님 부르심에 즉시 순종한 믿음
  6)7호 믿음-보기만을 소원한 일관된 믿음",내용이 이해하기 쉽고 조금 긴 느낌이 있음,150호 88쪽,1987022202
21,1987-02-23,월-새벽,막 10:49-52,계3:17;마16:21-28,믿음으로 하라,"성경에 기록해 준 목적
깨달을 점
믿음으로 하라
2.
ㄱ. 우리는 믿음으로 불쌍하고 가련한 자다
ㄴ. 믿음으로 소경이다.
ㄷ. 믿음으로 길에 앉아 기다리라
ㄹ. 신앙 양심으로 예수님 만나기를 기다려라
ㅁ. 양심으로 주님과 가까와 짐을 느껴야 한다
ㅂ. 마음, 뜻, 힘, 목숨 다하는 간절한 기도가 있어야 한다
ㅅ. 믿음으로 방해하는 것을 본 줄 알아야 한다
ㅈ. 더욱 부르짓어라

-------------------------------2
제목; 네 믿음이 너를 구원했다는 믿음의 순서
요지; 소경 바디매오의  네 믿음이  널 구원했다는 그 믿음에 대하여 13가지로 해석하신 교훈
- 네 믿음이 너를 구원했다는 믿음에  대해서
믿음1호; 믿음으로 자신이 거지고 불쌍하고 가련한 자임을 아는 것
믿음2호; 불쌍한 자임이 믿음으로 보지 못하는 원인임을 아는 것
믿음3호; 믿음으로 길에 앉아 있는 것
믿음4호; 믿음으로 길에 앉아서 예수님을 기다리는 신앙
믿음5호; 주님이 보이는 신앙
믿음6호; 믿음으로 주의 긍휼을 부르짖어 기도함
믿음7호; 믿음으로 방해의 세력을 봄
믿음8호; 더욱 더 호소하여 기도함",,150호 113쪽,1987022310
22,1987-03-01,주일-새벽,막 10:46-52,계3:17;눅12:13-21,바디매오 신앙의 교훈,"우리의 가련함을 알아라
불행의 원인은 소경
주의 할 점 - 목적을 잊어 버리지 말것
1.
ㄱ. 신령한 면
ㄴ. 하나님에 대해 바로 못 보는 면
ㄷ. 나그네 생활만 보고 평가 하는 것
2.
ㄱ. 부인함이 원인
ㄴ. 치료법은 성경대로 실행하는 것

---------------------2
바디매오의 신앙을 들어 논리적으로 신앙순서 및 우리의 주의점을 교훈하심
믿음의 눈
불행은 보지 못 함

",문제 해결의 기미가 보일때 조심할 것을 강조,150호 131쪽,1987030100
23,1987-03-01,주일오전,롬 6:4-6,고전11:23-26,"세례, 성찬의 의미와 기념법","세례는 장례식이요 부활식이다
          죽이는 일, 살리는 일을 계속하라
성찬의 의미와 기념법
---------------2
신년행사를 거행하시면서 세례식,성찬식을 정의하심
성찬-순생 ,순교",,150호 145쪽,1987030101
24,1987-03-01,주일오후,골 3:1-4,출33장,세례와 성찬을 기념하는 삶,"위엣 것을 찾아라
하나님 안에 감추었느니라
영광 중에 나타나리라
우리가 힘써야 할 세 가지
4.
ㄱ. 세례에 대해서
ㄴ. 성찬에 대해서
 가. 기념하는 삶
 나. 형제 생명위해 순생, 순교로
ㄷ. 그리스도로 인하여 살아라",세례와 성찬의 이어 우리의 생활이 세례 곧 사활에 힘쓰고 성찬 곧 피와 살을 기념에 힘쓰고 생명이신 주를 모셔서 주로 인하여 동함을 힘쓸 것을 교훈하심,150호 151쪽,1987030102
25,1987-03-02,월-새벽,골 3:1-11,롬1:26;요일5:21,버려야 할 것과 할 일,"그리스도를 인하여 사는 자의 수입
버려야 할 것
우리가 할 일
2.
ㄱ. 옛 사람을 벗어라
ㄴ. 음란과 부정
ㄷ. 사욕
ㄹ. 우상숭배
ㅁ. 훼방
ㅅ. 부끄러운 말
ㅇ. 거짓말
3.
ㄱ. 하나님의 형상을 쫓아
ㄴ. 그리스도를 나타내라",그리스도의 대속을 입어 그리스도적 성공을 한 우리가 땅에 있는 지체 때문에 이룰 성공을 못 이루면 안되기에 위엣 것을 소망하여 구원이루도록 강권하심,150호 167쪽,1987030210
26,1987-03-02,총공회,막 10:46-52,요1:1-;계3:17,소경 바디매오의 교훈,"본문 요약
계약을 실상으로 믿어라
보기를 원하는 자가 되자
믿음의  눈 뜨임을 받자
믿음의 눈을 멀어 보지 못함으로 불행한 인생된 것을 강하게 말씀하여 성경에 계시된 약속의 요 실상을 보는 눈을 
떠서 복된 사람되도록 교훈 하심
믿음의 눈 먼 불쌍한 인생
바디매오의 신앙- 자기의 비참을 안 신앙
                         비참한 원인을 보지 못함을 안 신앙
                         생명보다 주님 만나야 겠다 하는 신앙
                         겉옷을 버리고 뛰어 나아가는 신앙
                         보기 만을  원하는 신앙 ",,150호 178쪽,1987030280
27,1986-12-29,월-새벽,갈 2:19-21,,,,,147호 533쪽,1986122910
28,1986-12-30,화-새벽,계 21:9-27,,천국의 성질,"제목: 새 예루살렘
1. 모든 것이 통일된 나라
2. 하늘나라 가는 것
3. 천국 못 들어가는 것
-------- 1
제목: 하늘나라 들어가는 것
하늘나라의 속성을 예를 들어 말씀하시고 여기에 들어가는 것은 대속으로 완전히 된것만 들어 감을 교훈하심
===========2",,333호 547쪽,1986123020
29,1986-12-31,수-새벽,욘 3:1-10,,회개하라,"재판을 굽게 하지 말라
자기를 죽여야 전도된다
깨달은 말씀 순종하면 회개는 저절로 된다
회개의 밤을 삼읍시다
회개 안 하면 망한다
",,147호 564쪽,1986123130
30,1986-12-31,수요일저녁,욘 3:1-10,,회개를 착수하자,"말씀을 근거해서 믿으라
니느웨성의 회개
회개하고 깨끗한 새해를 맞이하자
긍휼을 입은 원인
사무엘을 통한 이스라엘 회개의 교훈
회개할 것 네 가지
제목: 회개
섣달 그믐밤에 회개의 권위를 말씀하시고 송구영심하도록 하심, 특별히 회개 요소 넷을 말씀
=========2",,333호 577쪽,1986123133
31,1987-01-01,목-새벽,히 11:1,,,,,148호 7쪽,1987010140
32,1987-01-01,금-새벽,딤후 3:16-17,,,,,148호 20쪽,1987010150
33,1985-01-02,지권찰회,요 10:1-5,,성경공부로 예수님화 되어 가자,"양과 목자와의 관계
성경공부를 시작하자
성경공부는 전지를 받아 들이는 것이다
1.
ㄱ. 목자가 앞서가야 양은 따라 온다
ㄴ. 예수님화 된 것 만큼 양떼들에게 권위가 있다.
2. 
ㄱ. 지궐찰 부터 시켜라
ㄴ. 자꾸시키면 다 알아진다
 가. 주일 학생부터
나. 학생수 파악하고
다. 재미 있도록

[목사님 개인 사과건을 정당화 시키려는 인상]",,148호 37쪽,1985010281
34,1987-01-02,금요일저녁,시 91:14-16,,아는 자에 대한 약속,"1. 자리에 않을 때 주의 할 점
2. 여호와의 이름을 안 즉의 뜻
3. 아는 자에 대한 약속
4. 주의 이름을 아느 것이란
5. 아는 자에 대한 약속
6. 진실되게 아는 자가 되자
----------  1

저가
이름을 아는 것
높이는 것 6가지
 1.간구의 응답
 2.하나님과 같은 속성의 사랑
 3.동거동행
 4.환란에서 건짐
 5.영화롭게 함
 6.장수함을 만족케함
 7.주의 구원을 보임
이름 아는 것 셋
 1.주의 계약을 암
 2.현실에서 계약을 암
 3.단행함 ","높이는 것 7가지를 증거하심, 높임을 받는 법.곧 이름을 아는 단계 셋을 증거하심",148호 52쪽,1987010253
35,1987-01-03,토-새벽,시 91:14-16,,모른즉,"1. 부흥비결
2. 성경공부를 다 시키도록 하자
3. 모른 즉
--------- 1",초두에 행정으로 반사제도에 대한 교훈 후 주의 이름을 부인하면 7가지 화가 어떤게 다가 오는가 함을 설교에 반대로 교훈하심,148호 74쪽,1987010360
36,1987-01-04,주일-새벽,딤후 3:15,,,,,148호 98쪽,1987010400
37,1987-01-04,주일오전,딤후 3:16-17,,,,,148호 111쪽,1987010401
38,1987-01-04,주일오후,딤후 3:16-17,,,,,148호 129쪽,1987010402
39,1987-01-05,월-새벽,딤후 3:16,,,,,148호 147쪽,1987010510
40,1987-01-07,수-새벽,딤후 3:10-17,,,,,148호 160쪽,1987010730
41,1987-01-07,수요일저녁,딤후 3:10-15,,,,,148호 179쪽,1987010733
42,1987-01-08,목-새벽,막 10:22-31,,세상이 모르는 비밀,"1. 영 구원과 육 구원의 차이
2. 징계의 유익
3. 다섯가지 성공과 실패
4. 세상이 모르는 비밀
--------- 1",,333호 193쪽,1987010840
43,1987-01-09,금-새벽,갈 2:16-21,,,,,148호 209쪽,1987010950
44,1986-01-09,지권찰회,약 1:4,,계약으로 온전을 이루라,"계약으로 온전을 이루라
광고내용.",,148호 222쪽,1986010981
45,1986-01-09,금요일저녁,갈 2:16-21,시1;벧후3:10-11;창6:9,성도가 힘써야 할 것,"도성인신의 유래
하나님은
우리가 힘써야 할 것은
요약 설명
2. 
ㄱ. 모든 피조물의 주권 주재자
ㄴ. 의인은 복, 죄인은 저주 주시는 분
3. 
ㄱ. 건설 구원(성화 구원)
ㄴ. 자기힘으로 복 받으려고 하지 말고
ㄷ. 믿음으로 의인 되는 것
4. 
ㄱ. 흥망 성쇠의 주권은 하나님께 있다.
ㄴ. 축복은 금생, 내생에 복, 저주는 금생내생에 저주
ㄷ. 의인되면 복, 죄인되면 저주
ㄹ. 의인은 완전한 의인이 되어야
ㅁ. 의인은 행위가 아닌 믿음으로만 가능하다",,148호 226쪽,1986010953
46,1987-01-10,토-새벽,갈 2:17-21,,,,,148호 245쪽,1987011060
47,1987-01-11,주일-새벽,딤후 3:15,,,,,148호 268쪽,1987011100
48,1987-01-11,주일오전,딤후 3:15-17,,,,,148호 287쪽,1987011101
49,1987-01-11,주일오후,딤후 3:15-17,,,,,148호 304쪽,1987011102
50,1987-01-12,월-새벽,딤후 3:15-17,,,,,148호 331쪽,1987011210
51,1987-01-13,화-새벽,딤후 3:15-17,,단일의 하나님,"1. 단일의 하나님
2. 모든 것은 우리 구원을 위해서 역사하신다
---- 1
단일성
주권
일원론
다원론","단일성.주권성,일원론에 대한 말씀",148호 341쪽,1987011320
52,1987-01-14,수-새벽,딤후 3:15-17,,하나님의 요소,"1. 성경목록가에 대해
2. 총공회의 방향(학벌에 대해)
3. 하나님의 요소
4. 종교통일과 연합에 대해
5. 피조물 속에 계신 주님
6. 바로 깨닫고 믿자
---------1
독립교회
카브난트 신학
단일성
신적요소
인적요소
신앙노선","우리 구원에 있어서 신적,인적요소를 구별하여 주심",148호 355쪽,1987011430
53,1987-01-14,수요일저녁,롬 8:18-23,,,,,148호 370쪽,1987011433
54,1987-01-15,목-새벽,롬 8:22-23,,,,,148호 388쪽,1987011540
55,1985-02-20,공과,삼상 15:22-23,,청종의 권위,,,117호 7쪽,1985022076
56,1985-02-20,수요일저녁,삼상 15:22-23,,청종의 권위,"공과 읽으심
주님을 아는 것만큼 청종하게 된다
기독교는 청종이 제일이다
청종의 권위에 대해(청종이 제일 임에 대한 예화와 해석)
문답 네가지에 대해
청종이 제사보다 낫고!!
",,117호 9쪽,1985022033
57,1985-02-21,목-새벽,행 10:39-48,,대속증거-성령-방언// 말씀을 통한 성령과 피의 역사와 능력(말씀 생활),"사람의 범죄와 타락 및 이로 인한 악령,악습,악성으로 물들게 됨
예수님의 세가지 대속과 그로 인해서 하나님과의 관계가 해결됨
예수님의 대속과 성령과 진리. 이 셋으로만 탈색할 수 있음
세가지로 탈색하는 방편과 그 관련 설명(자기중심과 복음 전함의 권세)
요한1서5:8-성령과 물과 피. 이 셋의 바른 순서:피공로의 은혜를 입은 것만치 성경말씀과 가까워지고 성령이 역사하심
본문인용-성경을 자꾸 읽고 듣고 할 때에 진리와 성령과 피공로로 강건해짐,성경을 통한 성령과 피의 역사, 성경을 읽음으로 성령과 피로 강건해졌을 때의 사람의 변화됨
모든 것보다도 우리의 할 일은 성경 읽는 것:말씀 듣고 읽음으로 성화된 성자들의 예증과 목사님의 말씀 읽지 못함에 대한 탄식",,117호 24쪽,1985022140
58,1985-02-22,금-새벽,행 10:43-48,,성령 충만(강림),"베드로가 예수님을 증거할 때 성령충만이 임함
성령충만의 두가지 증표
악령과 악성과 악습으로 물든 옛사람을 성령과 진리와 예수님의 대속으로만 벗을 수 있고 악령과 죄와 사망과 저주를 이기고 벗어날 수 있고 새사람으로 살 수 있다
성경을 읽고 듣는데서 성령충만함을 받고 그래야 죄도 이기고 하나님의 뜻대로 행할 수 있다
결론
옛사람을 벗고 새사람을 입는 방편은 성경을 통해서 들어 오는데 그 순서가 첫째 피, 둘째 말씀,셋째 성령이다. 따라서 우리는 이미 예수님의  피를 입었기 때문에 하나님의 말씀을 새김질하는 데서 성신의 감화가 오고
이 진리와 성신의 감화 둘이 예수님을 우리에게 가르쳐 줌 ",,117호 46쪽,1985022250
59,1985-02-22,지권찰회,요 15:1-4,,성공은 깨끗에서,,,117호 59쪽,1985022281
60,1985-02-22,금요일저녁,삼상 15:22-23,,청종의 권위,"공과
기독교는 합리의 도가 아니고 계약의 도이다
표적을 보이신 목적
마음, 힘, 뜻, 목숨 다 해야 한다.
청종이 제일이다
청종의 삶을 살자
",,333호 64쪽,1985022253
61,1985-02-23,토-새벽,삼상 15:22-23,,청종,"청종이 제사보다 낫다
듣는 것이 수양의 기름보다 낫다
거역하는 것은 사술의 죄와 같고, 완고한 것은 사신 우상에게 절하는 죄와 같다
왕이 여호와의 말씀을 버렸으므로
청종이 제일이다
청종의 권위로 나타나는 것(표적)에 대해-청종하나 가지면 다 된다
청종할 때 주의 할 것에 대해
제목: 청종이 제일이다
1. 본문 요약 설명
2. 청종에서 청종으로 자라가라
3. 주님께 다 맡기고 청종만 하라
========= 1",,333호 75쪽,1985022360
62,1985-02-24,주일-새벽,삼상 15:22-23,,청종의 권위,"기독자는 세상에서 하나님의 기적이 아니면 가장 불쌍한 사람이 됨과 그 이유
하나님의 축복으로 부자되었다가 신앙 팔고 있는 어떤 사람에게 대한 자녀를 통한 경고
하나님의 기적으로만 복될 수 있는 기독자
하나님의 기적을 받는 데는 청종으로만 된다. 청종으로 전부 삼는 학생들을 만들자
어느 청년에 대한 충고. 인간의 무능함
말씀을 가르칠 부장들에 대해서 주의
통성기도 후:성찬준비",,117호 88쪽,1985022400
63,1985-02-24,주일오전,고전 11:17-34,,성찬식,"바울의 책망말씀이다- 유월절 만찬은 예수님의 피와 살인 참된 양식으로 베푼 것을 바로 이해하자
성만찬을 베풀 때마다 주님의 대속의 공로를 벗지 않는 자가 되도록 변화되자
3가지 대속의 공로를 전함으로 끝마치자
거룩한 성찬에 회개를 다하고 참예하자(그렇지 않으면 죄를 먹고 마심이 된다)
제목: 성찬제도를 주신 목적
1. 성찬제도를 주신 목적
2. 깨끗하게 회개하고 성찬에 참여하자
========= 1",,222호 98쪽,1985022401
